num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
2,1018281600,US,GODADDY.COM LLC,com,0,15.0,15,0.0,0,bad
2,1018281600,ID,WILD WEST DOMAINS LLC,com,0,13.0,13,0.0,0,bad
2,1099238400,,WILD WEST DOMAINS LLC,eu,0,4.0,6,0.0,0,bad
0,,,,de,0,13.5,18,0.0,0,bad
0,,,,de,0,7.0,8,0.0,0,bad
0,,,,com,0,10.0,10,0.0,0,bad
3,910800000,,TUCOWS DOMAINS INC.,com,0,7.5,10,0.0,0,bad
2,1198166400,DE,CRONON AG,net,0,12.0,12,0.0,0,bad
2,1170950400,,FASTDOMAIN INC.,com,0,7.0,7,0.0,0,bad
2,1237651200,,FASTDOMAIN INC.,com,0,6.0,6,0.0,0,bad
2,1124812800,US,FASTDOMAIN INC.,com,0,12.0,12,2.0,4,bad
2,1146844800,,FASTDOMAIN INC.,com,0,3.0,4,0.0,0,bad
2,1109001600,BE,FASTDOMAIN INC.,com,0,12.0,12,0.0,0,bad
2,1090166400,PA,ENOM INC.,com,0,16.0,16,3.0,3,bad
2,1412784000,US,,com,0,12.0,12,0.0,0,bad
2,1090166400,PA,ENOM INC.,com,0,19.0,19,0.0,0,bad
2,1134748800,,TUCOWS.COM CO.,com,0,10.0,10,6.333333333333333,10,bad
2,907948800,US,NAMESILO LLC,com,0,5.0,6,6.333333333333333,11,bad
2,1082908800,ZA,GODADDY.COM LLC,ru,1,6.5,8,0.0,0,bad
0,,,RU-CENTER-RU,edu.in,0,3.0,3,0.0,0,bad
2,,IN,,uk,1,4.5,7,0.0,0,bad
0,,,,uk,1,4.5,7,4.333333333333333,9,bad
0,,,,uk,1,4.5,7,4.666666666666667,6,bad
0,,,,uk,1,4.5,7,5.333333333333333,8,bad
0,,,,com,0,8.5,9,5.25,8,bad
2,1380211200,PK,PAKNIC PRIVATE LIMITED,com,0,11.0,11,3.0,3,bad
4,1098288000,,REGISTER.COM INC.,sk,0,6.0,6,5.0,7,bad
0,,,,com,0,9.0,9,4.666666666666667,10,bad
3,1091462400,US,DREAMHOST,de,0,7.0,7,1.0,3,bad
0,,,,eu,0,11.0,11,3.8333333333333335,8,bad
0,,,,net,2,4.0,6,4.333333333333333,8,bad
2,1427990400,US,PSI-USA INC. DBA DOMAIN ROBOT,net,0,10.0,10,4.0,7,bad
2,1082304000,CN,ONLINENIC INC,nl,0,5.0,5,0.0,0,bad
0,,,,net.ua,0,5.0,5,6.0,8,bad
0,,,,kr,1,3.0,4,2.5,3,bad
0,,,,eu,0,9.0,9,5.666666666666667,8,bad
0,,,,uk,1,7.0,12,3.75,6,bad
0,,,,net,0,7.0,7,0.0,0,bad
2,1222358400,,DIRECTI INTERNET SOLUTIONS PVT. LTD. D/B/A PUBLICDOMAINREGISTRY.COM,com,0,3.3333333333333335,5,3.8,11,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,2.8333333333333335,8,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,3.3333333333333335,6,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,5.0,10,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,6.5,10,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,7.25,10,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,3.5,5,bad
2,1160150400,,ENOM INC.,com,0,3.3333333333333335,5,4.0,7,bad
2,1160150400,,ENOM INC.,com,0,15.0,15,0.0,0,bad
2,1253462400,,NAME.COM INC.,com,0,15.0,15,0.0,0,bad
2,1253462400,,NAME.COM INC.,com,0,15.0,15,0.0,0,bad
2,1253462400,,NAME.COM INC.,com,1,4.5,6,3.3333333333333335,6,bad
3,854553600,US,MARKMONITOR INC.,com,1,4.5,6,4.75,8,bad
3,854553600,US,MARKMONITOR INC.,net,0,8.0,8,2.0,4,bad
2,1106668800,FI,CSL COMPUTER SERVICE LANGENBACH GMBH D/B/A JOKER.COM,ru,0,3.0,3,0.0,0,bad
0,,,,com,0,15.0,15,4.5,9,bad
2,1179244800,,NETWORK SOLUTIONS LLC.,com,0,15.0,15,4.5,9,bad
2,1179244800,,NETWORK SOLUTIONS LLC.,com,0,7.0,7,0.0,0,bad
4,1218643200,,TUCOWS DOMAINS INC.,ru,0,9.0,9,0.0,0,bad
0,,,REGRU-RU,de,0,13.0,13,0.0,0,bad
0,,,,com,1,7.5,12,0.0,0,bad
2,1387468800,US,,it,0,11.0,11,5.0,9,bad
