tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,1,4.5,6,7.0,14,good
com,0,6.0,7,5.333333333333333,9,bad
com,0,6.0,6,5.0,5,bad
com.br,0,15.0,15,3.8,6,bad
net,1,7.5,12,5.25,12,good
org,1,6.0,9,5.0,6,good
com,0,20.0,20,5.666666666666667,7,bad
gov,2,3.3333333333333335,4,6.666666666666667,14,good
com,1,4.0,5,3.0,6,good
org,0,3.0,3,6.25,10,good
org,1,5.5,9,5.0,6,good
it,0,11.5,12,8.875,32,bad
net,1,4.5,6,4.25,6,good
com,0,8.0,8,3.25,7,good
com,1,5.75,9,3.75,5,good
edu.au,2,4.333333333333333,7,3.5,6,good
com,0,14.0,14,5.8,14,bad
fr,1,11.5,17,3.5,4,good
ga,0,7.0,7,1.5,3,bad
org,1,8.0,13,0.0,0,good
za,1,13.0,24,4.25,7,bad
com,1,9.5,12,8.0,12,good
pw,0,10.0,10,4.25,8,bad
com,2,4.666666666666667,7,3.933333333333333,8,good
fi,1,7.5,9,4.5,9,good
com,0,13.0,13,4.0,5,bad
ru,0,6.0,6,4.5,6,good
ru,0,15.0,15,3.5,4,bad
com,1,8.0,13,6.0,6,good
com,0,15.0,15,5.666666666666667,9,bad
com,0,14.0,14,4.0,5,bad
com,1,8.5,9,2.0,2,good
info,0,10.0,10,2.0,2,bad
ru,2,4.0,6,6.666666666666667,11,good
com,0,20.0,20,4.333333333333333,5,bad
org,1,6.0,9,4.0,4,good
com.au,0,11.0,11,2.0,4,bad
com,1,4.5,6,4.733333333333333,11,good
com,1,6.5,7,3.6666666666666665,5,bad
org,1,7.5,12,5.333333333333333,8,good
ru,1,3.5,4,7.0,11,good
gov,1,3.0,3,4.0,5,good
gov.au,1,10.5,18,3.5,4,good
com,0,12.0,12,4.6,7,bad
us,1,9.0,15,0.0,0,bad
com.au,1,7.5,12,4.666666666666667,7,bad
org,0,14.0,14,8.5,20,bad
edu.tr,1,4.5,7,4.0,7,good
org,1,5.5,9,5.2,10,good
org,2,4.0,9,3.0,5,good
net,0,7.0,7,0.0,0,bad
org,0,10.0,10,12.0,12,good
gov,1,3.5,4,8.0,8,good
com,0,6.0,7,2.75,7,bad
com,1,7.5,12,3.0,4,good
org.uk,1,6.5,10,4.5,5,good
net,1,7.5,9,3.0,5,bad
gov,1,5.0,7,5.75,9,good
net,1,6.5,7,4.5,6,good
org,0,4.0,5,6.0,13,good
org,1,6.0,9,3.0,5,good
hr,1,5.0,7,0.5,1,good
com,0,15.0,15,6.555555555555555,11,bad
org,2,4.0,9,3.0,5,good
com,1,5.0,7,2.6666666666666665,3,bad
ec,0,8.0,8,6.8,19,bad
net,0,8.0,8,8.0,8,bad
edu,1,3.0,3,6.333333333333333,18,good
org,1,6.0,9,4.5,5,good
ru,0,9.0,9,3.0,5,bad
org,1,5.5,9,3.0,5,good
com,1,5.6,17,8.333333333333334,13,bad
com,0,9.0,9,8.0,8,bad
com,0,18.0,18,9.0,21,bad
com,1,9.0,13,6.0,6,good
edu.sg,1,3.5,4,3.5,6,good
net,0,11.0,11,5.0,5,good
com,1,6.5,9,21.333333333333332,59,bad
gov,1,3.0,3,4.222222222222222,8,good
uk,1,8.0,14,10.4,32,bad
org,1,6.0,10,14.0,24,good
org,2,4.0,9,3.0,5,good
gov,1,6.0,9,8.666666666666666,12,good
com,1,6.0,9,5.285714285714286,8,good
com,1,6.333333333333333,7,0.0,0,bad
com,1,7.0,8,6.666666666666667,12,good
com,0,9.0,9,8.0,8,bad
com,0,7.0,7,10.0,10,bad
com,1,4.333333333333333,6,3.75,8,good
com.br,0,10.0,10,6.0,6,bad
